arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000119705,SLIRP,-0.07042066385266788,0.6621854669593195,0.8120146106682525,1.7212768728865768,1.7916975367392447
DX,Pre-treatment,ENSG00000157388,CACNA1D,-0.04737829634462637,0.6621854669593195,0.8120146106682525,0.46221274368784177,0.5095910400324681
DX,Pre-treatment,ENSG00000154642,C21orf91,-0.05805509343548021,0.6621854669593195,0.8120146106682525,4.394000866797486,4.452055960232967
DX,Pre-treatment,ENSG00000170832,USP32,0.05510757749490658,0.6621854669593195,0.8120146106682525,6.4163431082091265,6.36123553071422
DX,Pre-treatment,ENSG00000196544,C17orf59,-0.04054762306298265,0.6621854669593195,0.8120146106682525,5.246776817360959,5.287324440423942
DX,Pre-treatment,ENSG00000241288,RP11-379B18.5,0.017326832056080543,0.6621854669593195,0.8120146106682525,0.3321669261914613,0.3148400941353808
DX,Pre-treatment,ENSG00000173812,EIF1,0.061909437213460095,0.6621854669593195,0.8120146106682525,9.447625681786395,9.385716244572935
DX,Pre-treatment,ENSG00000124508,BTN2A2,-0.06648918334164478,0.6621854669593195,0.8120146106682525,4.753460671321719,4.8199498546633635
DX,Pre-treatment,ENSG00000262155,RP11-266L9.5,-0.02016529735323122,0.6621854669593195,0.8120146106682525,0.2085070982831591,0.22867239563639033
DX,Pre-treatment,ENSG00000144369,FAM171B,-0.03395077338982147,0.6621854669593195,0.8120146106682525,0.20949493775597602,0.2434457111457975
DX,Pre-treatment,ENSG00000170627,GTSF1,-0.05014148034891375,0.6621854669593195,0.8120146106682525,1.520940456109343,1.5710819364582567
DX,Pre-treatment,ENSG00000149573,MPZL2,-0.024434776322043827,0.6621854669593195,0.8120146106682525,3.0827223938926425,3.1071571702146863
DX,Pre-treatment,ENSG00000117475,BLZF1,-0.06289448746861703,0.6621854669593195,0.8120146106682525,3.3636145696646325,3.4265090571332495
DX,Pre-treatment,ENSG00000162736,NCSTN,-0.03550377261289306,0.6621854669593195,0.8120146106682525,7.366502672545141,7.402006445158034
DX,Pre-treatment,ENSG00000132912,DCTN4,-0.020790715323713904,0.6621854669593195,0.8120146106682525,5.284112359200711,5.304903074524425
DX,Pre-treatment,ENSG00000115641,FHL2,-0.10905367522206966,0.6621854669593195,0.8120146106682525,2.0164411233407504,2.12549479856282
DX,Pre-treatment,ENSG00000177125,ZBTB34,0.06252651633444906,0.6621854669593195,0.8120146106682525,6.042151238261018,5.979624721926569
DX,Pre-treatment,ENSG00000134548,SPX,0.09384170408906911,0.6621854669593195,0.8120146106682525,1.4024301828554069,1.3085884787663378
DX,Pre-treatment,ENSG00000101265,RASSF2,0.0676321501119812,0.6621854669593195,0.8120146106682525,9.689217408914073,9.621585258802092
DX,Pre-treatment,ENSG00000185000,DGAT1,-0.05084668106000123,0.6621854669593195,0.8120146106682525,6.333912711269924,6.384759392329925
DX,Pre-treatment,ENSG00000128791,TWSG1,-0.08901899394292911,0.6621854669593195,0.8120146106682525,2.10016755760888,2.189186551551809
DX,Pre-treatment,ENSG00000116133,DHCR24,-0.11354772796329815,0.6621854669593195,0.8120146106682525,3.421996279855073,3.535544007818371
DX,Pre-treatment,ENSG00000130150,MOSPD2,0.06632931957833144,0.6621854669593195,0.8120146106682525,5.66804424874218,5.601714929163848
DX,Pre-treatment,ENSG00000128965,CHAC1,-0.022266942597362505,0.6621854669593195,0.8120146106682525,0.43966574456002677,0.4619326871573893
DX,Pre-treatment,ENSG00000237094,RP4-669L17.10,0.08406416248826032,0.6621854669593195,0.8120146106682525,1.5084667496431,1.4244025871548396
DX,Pre-treatment,ENSG00000086288,NME8,-0.06597560404782188,0.6621854669593195,0.8120146106682525,2.2233015574916193,2.289277161539441
DX,Pre-treatment,ENSG00000168876,ANKRD49,-0.08880318934196252,0.6621854669593195,0.8120146106682525,3.8165223194805415,3.905325508822504
DX,Pre-treatment,ENSG00000215301,DDX3X,-0.07145108336099604,0.6621854669593195,0.8120146106682525,8.167718425275993,8.239169508636989
DX,Pre-treatment,ENSG00000164187,LMBRD2,-0.055499613780100265,0.6621854669593195,0.8120146106682525,3.196645599072436,3.252145212852536
DX,Pre-treatment,ENSG00000078142,PIK3C3,-0.04015261953959204,0.6621854669593195,0.8120146106682525,5.217642812282178,5.25779543182177
DX,Pre-treatment,ENSG00000149925,ALDOA,0.028485892802320834,0.6621854669593195,0.8120146106682525,10.475663965931826,10.447178073129505
DX,Pre-treatment,ENSG00000260404,RP11-384K6.6,-0.11837625159973131,0.6621854669593195,0.8120146106682525,3.7902158424784345,3.9085920940781658
DX,Pre-treatment,ENSG00000253669,KB-1732A1.1,-0.03617743982080257,0.6621854669593195,0.8120146106682525,0.556334845456132,0.5925122852769346
DX,Pre-treatment,ENSG00000134317,GRHL1,-0.05136105142934233,0.6621854669593195,0.8120146106682525,0.527186864723063,0.5785479161524053
